connection_name,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30
L-A11l - R-A10m,-0.08810251228435516,0.18587236433990756,-0.0077575554256243545,0.044504145663870225,0.06009560856479507,-0.04949856032526265,-0.02278368660600869,-0.14985193287021972,-0.05188737741312828,-0.013285546588090578,0.0228680557610181,-0.022720817624262753,-0.02013663672278837,0.19297219836542331,-0.05105704885456458,-0.10826582821904993,-0.07216556070105337,0.010698453182234167,-0.1457896846752764,0.29782825957403924,0.00583335504211909,0.0028307086544687486,0.20640754712255152,-0.054084324244489244,-0.08002910641456568,0.061766624069593164,-0.08996626493144558,0.06553658564541216,-0.08048956550204638,0.14126659833498184
R-A13 - R-A10m,-0.07407688357432984,0.15648580334749446,-0.017827632741607643,0.016281547550627926,-0.02309008916390226,-0.059426587594033714,-0.015979672885124096,-0.14678893514175181,-0.053105681998045176,-0.02440248364682317,0.04880280542825173,-0.11314038563350542,0.026914746201153583,0.18380742559788993,0.012106662030364118,0.07838726613540786,0.09103382219366349,0.14865323136366282,-0.11489270767855209,0.12329119964325838,0.03841548825398255,-0.24023792886295928,-0.008459186900914111,-0.0892682172550088,0.24393546183821582,0.02623467055309557,0.025958795591146396,-0.008631876474795195,-0.05080570450826001,0.06596427786607956
R-A13 - L-A11l,-0.052828290678146206,0.11451176077278535,-0.047267586701467634,0.11194364757130598,0.05263392538773817,-0.10365065546721453,0.0739724875248585,-0.06935730152619946,-0.0006438615909628159,-0.016037083127593384,0.034466361884244956,0.015973623585341025,0.01813781436304892,0.034624914195110434,-0.12440859848636962,-0.11440033360666406,-0.025570985394155622,0.0073022798039142495,-0.14907699800749058,-0.023047697650309118,-0.011539087636252105,0.015628565897687102,-0.012968639769671712,-0.09492332313519752,-0.0632534411172661,0.010656506849029619,-0.13115413468453668,-0.03275550247537244,-0.30918809332742014,-0.06216685967492512
L-A38m - R-A10m,-0.10826083955744235,0.11417713741749702,0.04061087989046394,-0.06596460562113571,-0.03557029497649719,-0.14372057561644383,-0.13098489534286423,-0.0557556350511752,-0.20123895641068248,-0.01586845921530379,-0.1540219268243409,0.09444613460432014,-0.21910380804894558,0.06706145372407252,-0.087615064471237,-0.083215488778597,0.01237959220856305,-0.02390728619439505,-0.026270619862998584,0.10438983234328808,-0.07950465339342914,0.0321985175793073,0.04957982338054662,-0.03646924995526089,0.0868712500582543,-0.16252688010424454,-0.012209453195449346,-0.20418366490712844,0.03446033921076746,-0.08825459613357307
L-A38m - L-A11l,-0.09270015884793976,0.08596140963024573,-0.02029130100627967,0.044739277962516394,0.01145467277973461,-0.18016889950793402,0.005596049119343874,0.04749939622158228,0.05140427272630885,0.13187347315294817,0.04957636055333051,0.09114308100502741,-0.17693325179943947,-0.13192686286056984,0.07989494715545442,-0.09997920182374183,-0.053490113255930574,0.1400262897132447,-0.12370813664152787,-0.14821980125141493,-0.21042006790919748,-0.061104144926777695,0.035580145180845096,-0.07929787301842657,0.045339555501535705,0.020811877807791493,-0.022964817918851216,-0.16633124011393022,-0.17541749623294162,0.0049164718516282735
L-A38m - R-A13,-0.09651519257920263,0.04876116771843286,-0.024766011806967483,0.02611316492898863,0.06680056447890265,-0.15610151961657898,0.10576207295939491,0.16173625813025558,-0.15188346510269668,-0.08442518716945462,-0.08716599861240559,0.020606317008822934,-0.16424000856028845,-0.10961438120943956,0.062082799942794725,-0.08779442438860033,-0.11779456022371806,0.15579020894260212,0.04809754674853656,-0.014659995049562752,-0.019559766086510392,0.00912002713267716,-0.003722440234947194,-0.1139237949373379,0.042423621973538606,0.12092020969625601,0.01834439434186093,-0.19649713599758153,-0.1928505297299322,0.030643152541825952
R-A22c - R-A10m,-0.07698431412828208,0.12995186038526962,0.07632855092013371,0.015708038008013736,-0.08560611702634469,0.0007687166763355457,-0.11229554086286969,-0.18878950803542466,-0.10167578773288383,-0.004011766585852915,0.08876832235444525,-0.06029539161161541,-0.0015904102602759679,-0.011961889347536028,0.12586137970765882,0.0365126376654393,0.0036178420990535948,0.16033767641825747,-0.05688580907911009,0.03895936197432956,0.082709059069715,-0.008023037751408703,-0.03844091130514496,-0.058459481695818216,-0.11184430095839172,0.10724248548026086,0.01759198418776196,0.05188717860420525,-0.06001149249936104,-0.2020800477127957
R-A22c - L-A11l,-0.0911859829305345,0.1500519178342995,0.0330870014395587,0.05834159161595398,0.04743442789822777,-0.12139887400436108,0.016142365003200113,0.01819407820448632,0.14831549585856554,-0.06437753052634854,0.13752306246143514,0.02721602567857763,-0.046068273960530134,0.06328998161684024,-0.01018250071917777,-0.052032927261479164,0.07970993737551464,-0.1618429302776968,0.07058686263526873,0.1794922473100679,-0.05906999314323581,0.10132098514542111,-0.062248589429986706,-0.005564207369259326,-0.02337853050010867,0.10715256596665027,0.07856048544363763,-0.050492976904582085,0.03977479329947324,-0.054201292911695786
R-A22c - R-A13,-0.080129534149981,0.08502129132675107,0.02530576987394706,0.06378756275842334,0.01993044735162025,-0.10781108257635791,0.04899555016224708,0.0438422115203321,0.07303493837093825,-0.08547996348295961,0.13996529962138562,-0.11287023143179399,-0.10400240447836397,0.11602710155970596,-0.07987559922262902,0.22851648098556354,0.18702619560889383,-0.042309095980386124,-0.014667839908307986,0.0052369157721839366,0.04320385771740822,-0.020682498624631205,-0.1115557344371875,-0.1461452667564161,0.07618163501297434,0.07522316995189574,0.0850973419199679,-0.037880331345558224,0.01879408304355551,0.010267914214759893
R-A22c - L-A38m,-0.11551499546879858,0.017305706564568958,-0.007625309058116536,-0.08283062977507114,0.032758480340748075,-0.10885332232535483,-0.10521644870513952,0.11642216949662829,-0.11424228689516724,0.05749538027740615,0.11000106273790922,0.012181718256408486,-0.30530149117048067,0.06025447059514688,-0.07362334712815682,0.15877156741430876,0.0064473700368231635,-0.006872840707456874,0.02248315466212722,-0.015469151710412021,-0.006557624302312357,0.07352374002486677,0.13423429285057695,0.0741811299418273,-0.17094866080171797,0.003034721584551413,0.1273733246051931,-0.033029268392797906,0.09137803285496386,0.02311213080901596
